11-diethoxyethane|1دی اتوکسی اتان
squaring the circle|تربیع دایره
squarish|تقریبا مربع‌
squarrose|زیستشناسی زبر پولک پولک خشن
squash|انگلیس
squash bug|حشره شناسی خستر کدو که آفت کدو و گیاهان همانند آن است
squash court|زمین بازی اسکواش
squash rackets|اسکواش
squasher|له کننده‌
squashy|لمبه
squat|پکنه
squat jump|کلاغ پر
squat under the ball|توپگیری با شیرجه
squat vault|پرش روی خرک
squatness|خله بودن
squatter|قوزکن
squatter's rights|حقوقی که در اثر ادامه سکونت غیر مجاز در ملک دیگری ایجاد می‌شود
squatting|چندک
squatting position|وضعیت چمباتمه در تیراندازی
squatty|خپله‌
squaw|زن سرخوست
squaw man|امریکا سفید پوستی که زن سرخوست گرفته
squaw wife|زوجه
squawcreekite|نوعی کانی
squawfish|جانورشناسی ماهی اسکوا جنس
squawk|جی
squawk box|دستگاه مخابره داخلی ناو
squawk flash|در رهگیری هوایی یعنی دستگاه شناسایی دشمن و خودی را روشن کنید
squawk low|در رهگیری هوایی یعنی دستگاه شناسایی دشمن و خودی را روی وضعیت اهسته بگذارید
squawk may day|در رهگیری هوایی یعنی دستگاه شناسایی دشمن و خودی را روی وضعیت اضطراری بگذارید
squawk mike|در رهگیری هوایی یعنی دستگاه شناسایی دشمن و خودی را روی وضعیت میکروفن بگذارید، در رهگیری هوایی یعنی دستگاه شناسایی دشمن و خودی را روی وضعیت میکروفون بگذارید
squawker|شاکی‌
squawking|در رهگیری هوایی یعنی روشن کردن دستگاه شناسایی دشمن و خودی و کار با ان
squawroot|گیاه شناسی اسکوا از خانوادهی که انگل ریشهی برخی درختان به ویژه درخت بلوط است
squeak|با
squeaker|جی جیغو، جیغ جیغو
squeaky|جی جیغو، جیغ جیغو
squeaky-clean|بی عیب عامیانه
squeal|داد
squeal whiz whizz|غژغژ
squealer|جیک زدن
squealing|جیغ زدن
squeamish|باحیا
squeamishly|با دقت زیاد
squeamishness|دقت زیاد
squeegee|رنگ کشی
squeegee wiper|شیشه پاک کن
squeez|فشردن
squeezable bottle|بطری فشاری
squeeze|فشار
squeeze bottle|بطری فشاری
squeeze cement|فشار دادن
squeeze cementing|سیمان کاری با فشار
squeeze job|تلمبه کردن با فشار
squeeze lens|عدسی فشارنده
squeeze off|تیراندازی با فشار ماشه
squeeze play|اعمال فشار وادارسازی
squeeze ratio|نسبت فشردگی
squeeze ring|رینگ فشار دهنده
squeeze roller|غلتک فشارنده
squeeze significance test|آزمون معنی‌دار بودن افشرده
squeeze slurry|دوغاب سیمان کاری با فشار
squeeze straiten|در مضیقه قرار دادن
squeezed|فشرده
squeezed picture|تصویر فشرده
squeezee|دستگاه آب خشک کن
squeezer|فشاردهنده، فشار دهنده
squeezing|فشار
squeezing effect|اثر فشردن
squeezing forecasting|پیش بینی فروش
squeezing machine|ماشین آبگیری فشاری
squeezing principle|اصل فشار
squeezing rocks|سنگهای مچا له شده
squeezing roller|غلتک فشار دهنده
squelch|له‌
squelch circuit|رادیو خاموش ساز مدار تضعیف کنندهی پارازیت
squelcher|له‌کننده‌
squib|اسکویب
squib kick|ضربه کوتاه با پا که به اسانی به دست تیم حریف نیفتد
squid|ماهی مرکب
squid superconducting quantum interference device|مغناطیسی
squidding|استفاده از طعمه مصنوعی بجای طعمه طبیعی در ماهیگیری
squidgy|نرم خودمانی
squiffed|مسموم شده
squiffy|مسموم شده
squiggle|لولیدن‌
squilgee|راداس
squill|پیاز عنصل
squinch|درهم کشیدن ک و معو کردن
squinny|کردن‌
squint|لوچ
squint eye|لوچ‌
squint eyed|لوچ‌
squint eyed, squint-eyed|احول‌
squinter eye|لوچ‌
squinteyed|لوچ احول چ چشم
squinting|لوچی
squinty|با چشمان لوچ
squirarchy|حکومت ملاکین واربابان‌
squire|جناب
squire of dames|کسی‌که‌همراه‌زنان‌میرود یابیشتردرگروه‌انان‌داخل‌میشو
squirearchy|اربابان
squireen|ایرلند زمین دار کوچک کشاورز خردهپا
squirelly|اتومبیلی که در سرعت زیاد کنترل ان سر پیچ مشکل باشد
squirish|ارباب وار
squirm|دادن‌
squirm wiggle|وول وول
squirmy|وول خورنده
squirmy wriggly|لول خورنده
squirrel|سناب
squirrel cage|قفس سنجابی
squirrel cage motor|موتور قفسی
squirrel cage rotor|سیم پیچ قفسی
squirrel cage rotor, squirrel-cage rotor|رتور قفس سنجابی
squirrel corn|گیاه شناسی قلب مریم آمریکایی از خانوادهی
squirrel gun|تفنگ لوله کوتاه‌
squirrel refle|تفنگ دهانه باریک
squirrel rifle|تفنگ لوله کوتاه‌
squirrel-cage winding|معمولا عایق نشده
squirrelly or squirrely|آمریکا
squirt|آب
squirt gun|تانچهی آب دزدکی که بچهها با آن آب میپرانند
squirt syringe|اب دزدک
squirted filament|افروزه جهیده
squirting cucumber|گیاهشناسی خیارخر خیار دشتی خیار آب پران
squish|له کردن‌
squishy|جی ودادی‌، جیغ ودادی‌
squoosh|آب لمبو کردن له و آبکی کردن
squring the circle|تربیع دایره
sqw|فایلهای آرشیو
sr|عدد اتمی
sr flip flop|الاکلنگ اس آر، الاکلنگ اس ار
sra|فایلهای برنامه
sram|ولی با قطع برق
src|فایلهای
srcc|اعتصاب
srebrodolskite|نوعی کانی
sri jayawardenepura kotte|جایاواردنپورا کوته
sri lanka|سیلان
sri lankan|سریالنکایی
srilankan|سری لانکایی
srilankite|نوعی کانی
srinagar|سرینگر
srl camera|دوربین تک عدسی بازتابی
srt|جور شده
srtd|جورشده
srtg|دارای جور شدگی
sruface-passivated transistor|ترانزیستور غیر فعال شده سطحی ترانزیستوری که در برابر آب
sry|متاسفم
ss|ماسه سنگ
ss or ss steamboat steamship|کشتی بخار
ssa|معماری ذخیره سازی سریال واسط سریال برای شبکه‌های کامپیوتری
ssb / am|عملکرد تک باند جانبی با مدوله سازی دامنه
ssd|دریچە کشویی جانبی
ssdo|گاهی در مورد سیال حفاری نیز بکار می‌رود
sse|مجموع مربعات خطا
sself evident|بدیهی
sserry|بهم فشردن، به هم فشردن
ssfdc|کارت دیسک لغزان حالت
ssi|مجتمع سازی کوچک
ssid|شماره شناسایی ایستگاه کشتی شماره شناسایی کشتی برای ردیابی در پرونده U. S. و FCC
sso|نمونه‌های حفاری حاوی مقدار کمی نشانه نفتی
ssop|پوششی برای قطعات نیمرسانا
ssp|درصدسدیم انحلال‌پذیر
ssquare rig|کشتی دکل دار دارای بادبان خم شدهبطرف دکل
ssr|مجموع مربعات رگرسیون
sss|و استفاده می‌شود
sst|ماسه سنگ
sstart|شروع
sstv|تلویزیون کند
ssv|فایلهای نمودار
ssw|جنوب جنوب غربی
st|تنگه
st clair|امریکا و استان اونتاریو در کانادا
st george|جرجیس
st g's cross|چلیپایی‌که‌ازدوخط‌قرمزدرست شده‌باشد
st g's day|روز23 اوریل‌
st helena|جزیره سنت هلن درجنوب غربی افریقا
st helens|امریکا
st ignatius's bean|پاپیته گیاهی است که استریکنین میدهد، s پاپیته (گیاهی است که استریکنین میدهد
st john's|شهر سنت جانز پایتخت استان نبوفاوندلند در کانادا
st john's bread|خرنوب
st john's wort|علف چایی
st lawrence seaway|متعلق به آمریکا و کانادا
st louis|سنت لویس شهر
st michael|میکائیل مقرب
st moritz|شهر سن موریتز در جنوب خاوری سویس
st paul|سنت پال شهر
st peter's|کلیسای سن پیر
st petersburg|سنت پترزبورگ شهر
st506 drive|گرداننده
sta|نامی برای نامگذاری به صورت
staainless steel|فولاد ضد زنگ
stab|خنجرزدن، خنجر زدن‌
stab at someone|چاقو کشیدن
stab culture|سوزنی
stab emulsion|امولسیون پایدار
stab twinge|عذاب وجدان
stabber|سخمهزن، سخمه‌زن‌
stabbimg board|سکوی جا اندازی
stabbing|سخمهزنی
stabbing cone|مخروط جا اندازی
stabile|گرما
stabilimeter|استواری سنج
stabilisation|تثبیت
stabilised|ثابت
stabiliser|تثبیت کننده تثبیت کننده مصرفی درفرآیند پلیمریزاسیون
stabilising|تثبیت کردن
stability|پایابی
stability analysis|تحلیل ثبات
stability axes|محورهای پایداری
stability calculation|حساب پایداری
stability coefficient|ضریب استواری
stability condition|شرایط پایداری
stability conditions|شرایط ثبات
stability constant|ثابت پایداری
stability group|گروه پاینده
stability limit|حد پایداری
stability moment|ممان پایداری
stability of a system|پایداری دستگاه
stability of an emulsion|ثبات امولسیون
stability of embankment|تعادل خاکریز
stability of frequencies|ثبات فراوانی‌ها
stability of slope|تعادل شیروانی
stability operations|عملیات ارام سازی
stability region|ناحیه پایداری
stability stabilization|درواخی
stability strategies|استراتژی‌های ثبات
stability subgroup|زیرگروه پایداری
stability to humidity|حفظ رطوبت
stability to shrinkage|مقاومت نسبت به آبرفتگی
stability under load|تعادل زیر بار
stability unloaded|تعادل بی بار
stabilization|تثبیت
stabilization policy|سیاست تثبیت اقتصادی
stabilization pond|برکه تثبیت
stabilize|پایدار ساختن
stabilize reinforce|استحکام بخشیدن
stabilize still|ناجنبا کردن
stabilized|ثابت
stabilized crude oil|نفت خام پایدار
stabilized diazo|ترکیبات دی آزوی پایدار
stabilized layer|قشر تثبیت شده
stabilized platform|گردش
stabilized soil|خاک تقویت شده یا تحکیم شده
stabilizer|استوار کننده‌
stabilizer bar|میله فلزی و وزنه وصل به پشت کمان برای ایجاد تعادل
stabilizer muscule|عضله ثابت کننده
stabilizer subgroup|زیرگروه پاینده
